"DateTime","Players","Average Players"
"2026-02-22 00:00:00",2164,2476
"2026-02-22 01:00:00",2083,2466
"2026-02-22 02:00:00",2012,2454
"2026-02-22 03:00:00",2003,2443
"2026-02-22 04:00:00",1973,2429
"2026-02-22 05:00:00",1928,2410
"2026-02-22 06:00:00",1840,2388
"2026-02-22 07:00:00",1881,2365
"2026-02-22 08:00:00",1981,2341
"2026-02-22 09:00:00",2087,2318
"2026-02-22 10:00:00",2219,2294
"2026-02-22 11:00:00",2413,2266
"2026-02-22 12:00:00",2746,2234
"2026-02-22 13:00:00",2974,2201
"2026-02-22 14:00:00",3220,2169
"2026-02-22 15:00:00",3245,2131
"2026-02-22 16:00:00",3234,2092
"2026-02-22 17:00:00",3211,2055
"2026-02-22 18:00:00",3138,2019
"2026-02-22 19:00:00",3048,1985
"2026-02-22 20:00:00",2863,1953
"2026-02-22 21:00:00",2613,1923
"2026-02-22 22:00:00",2371,1900
"2026-02-22 23:00:00",2174,1879
"2026-02-23 00:00:00",1944,1861
"2026-02-23 01:00:00",1810,1849
"2026-02-23 02:00:00",1762,1840
"2026-02-23 03:00:00",1675,1830
"2026-02-23 04:00:00",1522,1822
"2026-02-23 05:00:00",1405,1815
"2026-02-23 06:00:00",1316,1809
"2026-02-23 07:00:00",1316,1803
"2026-02-23 08:00:00",1422,1795
"2026-02-23 09:00:00",1496,1787
"2026-02-23 10:00:00",1534,1781
"2026-02-23 11:00:00",1625,1775
"2026-02-23 12:00:00",1913,1769
"2026-02-23 13:00:00",2160,1761
"2026-02-23 14:00:00",2267,1751
"2026-02-23 15:00:00",2257,1748
"2026-02-23 16:00:00",2295,1744
"2026-02-23 17:00:00",2270,1740
"2026-02-23 18:00:00",2268,1738
"2026-02-23 19:00:00",2242,1731
"2026-02-23 20:00:00",2104,1726
"2026-02-23 21:00:00",2022,1725
"2026-02-23 22:00:00",1851,1718
"2026-02-23 23:00:00",1700,1714
"2026-02-24 00:00:00",1642,1711
"2026-02-24 01:00:00",1572,1706
"2026-02-24 02:00:00",1514,1703
"2026-02-24 03:00:00",1457,1701
"2026-02-24 04:00:00",1346,1700
"2026-02-24 05:00:00",1252,1699
"2026-02-24 06:00:00",1169,1699
"2026-02-24 07:00:00",1143,1697
"2026-02-24 08:00:00",1222,1697
"2026-02-24 09:00:00",1352,1693
"2026-02-24 10:00:00",1413,1688
"2026-02-24 11:00:00",1492,1685
"2026-02-24 12:00:00",1749,1681
"2026-02-24 13:00:00",1941,1674
"2026-02-24 14:00:00",2230,1672
"2026-02-24 15:00:00",2204,1667
"2026-02-24 16:00:00",2241,1664
"2026-02-24 17:00:00",2244,1656
"2026-02-24 18:00:00",2139,1649
"2026-02-24 19:00:00",2142,1646
"2026-02-24 20:00:00",2108,1640
"2026-02-24 21:00:00",1894,1632
"2026-02-24 22:00:00",1756,1629
"2026-02-24 23:00:00",1641,1626
"2026-02-25 00:00:00",1522,1623
"2026-02-25 01:00:00",1519,1623
"2026-02-25 02:00:00",1465,1621
"2026-02-25 03:00:00",1452,1620
"2026-02-25 04:00:00",1333,1619
"2026-02-25 05:00:00",1248,1621
"2026-02-25 06:00:00",1145,1622
"2026-02-25 07:00:00",1143,1623
"2026-02-25 08:00:00",1126,1622
"2026-02-25 09:00:00",1233,1624
"2026-02-25 10:00:00",1338,1626
"2026-02-25 11:00:00",1399,1628
"2026-02-25 12:00:00",1596,1628
"2026-02-25 13:00:00",1895,1628
"2026-02-25 14:00:00",2102,1625
"2026-02-25 15:00:00",2125,1621
"2026-02-25 16:00:00",2026,1617
"2026-02-25 17:00:00",2066,1618
"2026-02-25 18:00:00",2076,1618
"2026-02-25 19:00:00",1984,1616
"2026-02-25 20:00:00",1898,1616
"2026-02-25 21:00:00",1820,1615
"2026-02-25 22:00:00",1673,1610
"2026-02-25 23:00:00",1587,1609
"2026-02-26 00:00:00",1507,1605
"2026-02-26 01:00:00",1473,1603
"2026-02-26 02:00:00",1440,1602
"2026-02-26 03:00:00",1429,1604
"2026-02-26 04:00:00",1366,1602
"2026-02-26 05:00:00",1273,1599
"2026-02-26 06:00:00",1184,1595
"2026-02-26 07:00:00",1126,1593
"2026-02-26 08:00:00",1196,1594
"2026-02-26 09:00:00",1288,1594
"2026-02-26 10:00:00",1391,1595
"2026-02-26 11:00:00",1414,1594
"2026-02-26 12:00:00",1622,1595
"2026-02-26 13:00:00",1826,1597
"2026-02-26 14:00:00",1990,1598
"2026-02-26 15:00:00",2051,1598
"2026-02-26 16:00:00",2080,1598
"2026-02-26 17:00:00",2073,1599
"2026-02-26 18:00:00",2042,1599
"2026-02-26 19:00:00",1997,1602
"2026-02-26 20:00:00",1880,1605
"2026-02-26 21:00:00",1714,1609
"2026-02-26 22:00:00",1653,1617
"2026-02-26 23:00:00",1481,1624
"2026-02-27 00:00:00",1447,1632
"2026-02-27 01:00:00",1460,1639
"2026-02-27 02:00:00",1482,1645
"2026-02-27 03:00:00",1364,1648
"2026-02-27 04:00:00",1292,1656
"2026-02-27 05:00:00",1148,1665
"2026-02-27 06:00:00",1126,1676
"2026-02-27 07:00:00",1135,1688
"2026-02-27 08:00:00",1209,1699
"2026-02-27 09:00:00",1284,1712
"2026-02-27 10:00:00",1377,1725
"2026-02-27 11:00:00",1436,1739
"2026-02-27 12:00:00",1696,1757
"2026-02-27 13:00:00",1851,1773
"2026-02-27 14:00:00",2019,1792
"2026-02-27 15:00:00",2037,1812
"2026-02-27 16:00:00",2093,1833
"2026-02-27 17:00:00",2088,1853
"2026-02-27 18:00:00",2134,1873
"2026-02-27 19:00:00",2080,1889
"2026-02-27 20:00:00",2000,1905
"2026-02-27 21:00:00",1954,1922
"2026-02-27 22:00:00",1876,1937
"2026-02-27 23:00:00",1723,1947
"2026-02-28 00:00:00",1640,1958
"2026-02-28 01:00:00",1633,1965
"2026-02-28 02:00:00",1596,1970
"2026-02-28 03:00:00",1595,1976
"2026-02-28 04:00:00",1594,1984
"2026-02-28 05:00:00",1483,1992
"2026-02-28 06:00:00",1460,2000
"2026-02-28 07:00:00",1448,2008
"2026-02-28 08:00:00",1606,2020
"2026-02-28 09:00:00",1677,2029
"2026-02-28 10:00:00",1791,2038
"2026-02-28 11:00:00",1933,2049
"2026-02-28 12:00:00",2177,2059
"2026-02-28 13:00:00",2395,2069
"2026-02-28 14:00:00",2638,2078
"2026-02-28 15:00:00",2665,2085
"2026-02-28 16:00:00",2681,2091
"2026-02-28 17:00:00",2658,2096
"2026-02-28 18:00:00",2618,2100
"2026-02-28 19:00:00",2524,2106
"2026-02-28 20:00:00",2477,2112
"2026-02-28 21:00:00",2340,2116
"2026-02-28 22:00:00",2145,2114
"2026-02-28 23:00:00",2027,2114
"2026-03-01 00:00:00",1813,2109
"2026-03-01 01:00:00",1762,2103
"2026-03-01 02:00:00",1739,2097
"2026-03-01 03:00:00",1775,2088
"2026-03-01 04:00:00",1762,2076
"2026-03-01 05:00:00",1669,2062
"2026-03-01 06:00:00",1618,2047
"2026-03-01 07:00:00",1724,2032
"2026-03-01 08:00:00",1802,2011
"2026-03-01 09:00:00",1847,1990
"2026-03-01 10:00:00",2009,1971
"2026-03-01 11:00:00",2132,1948
"2026-03-01 12:00:00",2351,1927
"2026-03-01 13:00:00",2514,1905
"2026-03-01 14:00:00",2675,1882
"2026-03-01 15:00:00",2714,1859
"2026-03-01 16:00:00",2675,1836
"2026-03-01 17:00:00",2656,1813
"2026-03-01 18:00:00",2695,1792
"2026-03-01 19:00:00",2583,1770
"2026-03-01 20:00:00",2479,1749
"2026-03-01 21:00:00",2215,1730
"2026-03-01 22:00:00",2050,1711
"2026-03-01 23:00:00",1849,1693
"2026-03-02 00:00:00",1595,1679
"2026-03-02 01:00:00",1509,1671
"2026-03-02 02:00:00",1434,1663
"2026-03-02 03:00:00",1349,1657
"2026-03-02 04:00:00",1259,1650
"2026-03-02 05:00:00",1141,1644
"2026-03-02 06:00:00",1064,1638
"2026-03-02 07:00:00",1003,1631
"2026-03-02 08:00:00",1084,1626
"2026-03-02 09:00:00",1158,1621
"2026-03-02 10:00:00",1234,1615
"2026-03-02 11:00:00",1379,1609
"2026-03-02 12:00:00",1602,1601
"2026-03-02 13:00:00",1768,1592
"2026-03-02 14:00:00",1913,1584
"2026-03-02 15:00:00",1952,1577
"2026-03-02 16:00:00",1937,1567
"2026-03-02 17:00:00",1926,1557
"2026-03-02 18:00:00",1949,1547
"2026-03-02 19:00:00",1893,1537
"2026-03-02 20:00:00",1881,1530
"2026-03-02 21:00:00",1632,1521
"2026-03-02 22:00:00",1498,1515
"2026-03-02 23:00:00",1447,1510
"2026-03-03 00:00:00",1380,1506
"2026-03-03 01:00:00",1349,1502
"2026-03-03 02:00:00",1365,1498
"2026-03-03 03:00:00",1283,1492
"2026-03-03 04:00:00",1204,1488
"2026-03-03 05:00:00",1153,1484
"2026-03-03 06:00:00",1073,1481
"2026-03-03 07:00:00",1064,1479
"2026-03-03 08:00:00",1155,1476
"2026-03-03 09:00:00",1234,1472
"2026-03-03 10:00:00",1293,1468
"2026-03-03 11:00:00",1407,1466
"2026-03-03 12:00:00",1552,1463
"2026-03-03 13:00:00",1792,1459
"2026-03-03 14:00:00",1949,1457
"2026-03-03 15:00:00",1908,1452
"2026-03-03 16:00:00",1881,1447
"2026-03-03 17:00:00",1864,1444
"2026-03-03 18:00:00",1887,1440
"2026-03-03 19:00:00",1884,1439
"2026-03-03 20:00:00",1816,1436
"2026-03-03 21:00:00",1650,1433
"2026-03-03 22:00:00",1502,1432
"2026-03-03 23:00:00",1386,1428
"2026-03-04 00:00:00",1330,1424
"2026-03-04 01:00:00",1243,1420
"2026-03-04 02:00:00",1186,1417
"2026-03-04 03:00:00",1163,1418
