"DateTime","Players","Average Players"
"2026-02-23 00:00:00",1985,2409
"2026-02-23 01:00:00",1749,2400
"2026-02-23 02:00:00",1678,2396
"2026-02-23 03:00:00",1504,2392
"2026-02-23 04:00:00",1378,2392
"2026-02-23 05:00:00",1263,2383
"2026-02-23 06:00:00",1201,2376
"2026-02-23 07:00:00",1349,2371
"2026-02-23 08:00:00",1624,2360
"2026-02-23 09:00:00",1683,2346
"2026-02-23 10:00:00",1999,2338
"2026-02-23 11:00:00",2298,2328
"2026-02-23 12:00:00",2462,2316
"2026-02-23 13:00:00",2625,2306
"2026-02-23 14:00:00",2837,2303
"2026-02-23 15:00:00",2981,2298
"2026-02-23 16:00:00",3228,2298
"2026-02-23 17:00:00",3702,2302
"2026-02-23 18:00:00",3926,2300
"2026-02-23 19:00:00",4014,2302
"2026-02-23 20:00:00",3965,2303
"2026-02-23 21:00:00",3546,2302
"2026-02-23 22:00:00",2705,2295
"2026-02-23 23:00:00",2122,2289
"2026-02-24 00:00:00",1788,2283
"2026-02-24 01:00:00",1655,2281
"2026-02-24 02:00:00",1616,2279
"2026-02-24 03:00:00",1530,2278
"2026-02-24 04:00:00",1207,2277
"2026-02-24 05:00:00",1117,2280
"2026-02-24 06:00:00",1116,2282
"2026-02-24 07:00:00",1116,2279
"2026-02-24 08:00:00",1312,2279
"2026-02-24 09:00:00",1495,2279
"2026-02-24 10:00:00",1761,2278
"2026-02-24 11:00:00",2002,2271
"2026-02-24 12:00:00",2219,2266
"2026-02-24 13:00:00",2515,2265
"2026-02-24 14:00:00",2705,2261
"2026-02-24 15:00:00",2962,2259
"2026-02-24 16:00:00",3277,2254
"2026-02-24 17:00:00",3611,2249
"2026-02-24 18:00:00",3902,2245
"2026-02-24 19:00:00",3988,2243
"2026-02-24 20:00:00",3897,2239
"2026-02-24 21:00:00",3360,2236
"2026-02-24 22:00:00",2559,2228
"2026-02-24 23:00:00",1999,2225
"2026-02-25 00:00:00",1731,2222
