"DateTime","Players","Average Players"
"2026-02-22 00:00:00",18359,31920
"2026-02-22 01:00:00",21069,31895
"2026-02-22 02:00:00",24468,31894
"2026-02-22 03:00:00",25654,31871
"2026-02-22 04:00:00",28567,31817
"2026-02-22 05:00:00",33148,31750
"2026-02-22 06:00:00",36425,31680
"2026-02-22 07:00:00",37397,31608
"2026-02-22 08:00:00",37298,31532
"2026-02-22 09:00:00",34486,31452
"2026-02-22 10:00:00",28520,31375
"2026-02-22 11:00:00",35274,31310
"2026-02-22 12:00:00",45185,31330
"2026-02-22 13:00:00",51277,31345
"2026-02-22 14:00:00",51979,31265
"2026-02-22 15:00:00",49553,31143
"2026-02-22 16:00:00",41171,30889
"2026-02-22 17:00:00",33265,30555
"2026-02-22 18:00:00",27407,30208
"2026-02-22 19:00:00",24150,29918
"2026-02-22 20:00:00",22736,29668
"2026-02-22 21:00:00",21345,29428
"2026-02-22 22:00:00",19713,29209
"2026-02-22 23:00:00",17626,29011
"2026-02-23 00:00:00",18165,28859
"2026-02-23 01:00:00",21343,28712
"2026-02-23 02:00:00",24153,28547
"2026-02-23 03:00:00",24498,28371
"2026-02-23 04:00:00",26959,28197
"2026-02-23 05:00:00",31339,27949
"2026-02-23 06:00:00",34546,27633
"2026-02-23 07:00:00",35406,27257
"2026-02-23 08:00:00",35273,26880
"2026-02-23 09:00:00",32698,26506
"2026-02-23 10:00:00",26843,26167
"2026-02-23 11:00:00",35328,26016
"2026-02-23 12:00:00",44937,25905
"2026-02-23 13:00:00",48684,25846
"2026-02-23 14:00:00",48435,25850
"2026-02-23 15:00:00",42995,25854
"2026-02-23 16:00:00",32895,25863
"2026-02-23 17:00:00",24818,25832
"2026-02-23 18:00:00",20426,25808
"2026-02-23 19:00:00",18209,25774
"2026-02-23 20:00:00",17071,25724
"2026-02-23 21:00:00",16208,25677
"2026-02-23 22:00:00",15191,25641
"2026-02-23 23:00:00",13758,25602
"2026-02-24 00:00:00",14401,25571
