"DateTime","Players","Average Players"
"2026-02-22 00:00:00",2202,2670
"2026-02-22 01:00:00",2374,2668
"2026-02-22 02:00:00",2652,2665
"2026-02-22 03:00:00",2729,2659
"2026-02-22 04:00:00",2681,2654
"2026-02-22 05:00:00",2588,2649
"2026-02-22 06:00:00",2495,2642
"2026-02-22 07:00:00",2433,2632
"2026-02-22 08:00:00",2505,2624
"2026-02-22 09:00:00",2507,2613
"2026-02-22 10:00:00",2549,2603
"2026-02-22 11:00:00",2659,2589
"2026-02-22 12:00:00",2848,2577
"2026-02-22 13:00:00",3126,2567
"2026-02-22 14:00:00",3134,2553
"2026-02-22 15:00:00",3152,2538
"2026-02-22 16:00:00",3111,2521
"2026-02-22 17:00:00",2923,2497
"2026-02-22 18:00:00",2857,2472
"2026-02-22 19:00:00",2684,2447
"2026-02-22 20:00:00",2637,2427
"2026-02-22 21:00:00",2548,2405
"2026-02-22 22:00:00",2479,2385
"2026-02-22 23:00:00",2206,2364
"2026-02-23 00:00:00",2168,2350
"2026-02-23 01:00:00",2294,2338
"2026-02-23 02:00:00",2521,2331
"2026-02-23 03:00:00",2598,2319
"2026-02-23 04:00:00",2573,2306
"2026-02-23 05:00:00",2422,2294
"2026-02-23 06:00:00",2269,2283
"2026-02-23 07:00:00",2236,2272
"2026-02-23 08:00:00",2237,2260
"2026-02-23 09:00:00",2271,2246
"2026-02-23 10:00:00",2214,2230
"2026-02-23 11:00:00",2352,2218
"2026-02-23 12:00:00",2590,2208
"2026-02-23 13:00:00",2752,2199
"2026-02-23 14:00:00",2745,2191
"2026-02-23 15:00:00",2721,2186
"2026-02-23 16:00:00",2522,2180
"2026-02-23 17:00:00",2292,2174
"2026-02-23 18:00:00",2231,2169
"2026-02-23 19:00:00",2174,2160
"2026-02-23 20:00:00",2091,2153
"2026-02-23 21:00:00",2054,2147
"2026-02-23 22:00:00",1978,2141
"2026-02-23 23:00:00",1834,2134
"2026-02-24 00:00:00",1861,2130
"2026-02-24 01:00:00",2124,2127
"2026-02-24 02:00:00",2202,2122
"2026-02-24 03:00:00",2277,2122
"2026-02-24 04:00:00",2271,2118
"2026-02-24 05:00:00",2152,2114
"2026-02-24 06:00:00",1988,2109
"2026-02-24 07:00:00",1919,2105
"2026-02-24 08:00:00",1887,2100
"2026-02-24 09:00:00",1866,2096
"2026-02-24 10:00:00",1928,2093
"2026-02-24 11:00:00",2105,2092
"2026-02-24 12:00:00",2358,2092
"2026-02-24 13:00:00",2570,2090
"2026-02-24 14:00:00",2612,2088
"2026-02-24 15:00:00",2588,2085
"2026-02-24 16:00:00",2394,2082
"2026-02-24 17:00:00",2199,2083
"2026-02-24 18:00:00",2037,2082
"2026-02-24 19:00:00",2008,2079
"2026-02-24 20:00:00",1973,2074
"2026-02-24 21:00:00",1906,2070
"2026-02-24 22:00:00",1830,2066
"2026-02-24 23:00:00",1744,2063
"2026-02-25 00:00:00",1782,2059
"2026-02-25 01:00:00",2025,2053
"2026-02-25 02:00:00",2197,2047
"2026-02-25 03:00:00",2211,2041
"2026-02-25 04:00:00",2181,2036
"2026-02-25 05:00:00",2042,2030
"2026-02-25 06:00:00",1899,2028
"2026-02-25 07:00:00",1797,2025
"2026-02-25 08:00:00",1821,2026
"2026-02-25 09:00:00",1811,2026
"2026-02-25 10:00:00",1916,2026
"2026-02-25 11:00:00",2121,2024
"2026-02-25 12:00:00",2329,2024
"2026-02-25 13:00:00",2503,2022
"2026-02-25 14:00:00",2563,2021
"2026-02-25 15:00:00",2512,2021
"2026-02-25 16:00:00",2430,2021
"2026-02-25 17:00:00",2176,2017
"2026-02-25 18:00:00",1971,2013
"2026-02-25 19:00:00",1883,2009
