"DateTime","Players","Average Players"
"2026-02-22 00:00:00",11881,12023
"2026-02-22 01:00:00",11933,12035
"2026-02-22 02:00:00",12394,12053
"2026-02-22 03:00:00",12443,12065
"2026-02-22 04:00:00",12398,12076
"2026-02-22 05:00:00",11899,12060
"2026-02-22 06:00:00",11098,12026
"2026-02-22 07:00:00",10146,11983
"2026-02-22 08:00:00",9662,11938
"2026-02-22 09:00:00",9636,11895
"2026-02-22 10:00:00",9702,11854
"2026-02-22 11:00:00",10295,11825
"2026-02-22 12:00:00",10792,11794
"2026-02-22 13:00:00",11693,11759
"2026-02-22 14:00:00",12383,11716
"2026-02-22 15:00:00",12729,11670
"2026-02-22 16:00:00",12964,11623
"2026-02-22 17:00:00",13212,11567
"2026-02-22 18:00:00",13424,11516
"2026-02-22 19:00:00",13756,11466
"2026-02-22 20:00:00",13913,11414
"2026-02-22 21:00:00",13912,11362
"2026-02-22 22:00:00",13440,11307
"2026-02-22 23:00:00",12840,11257
"2026-02-23 00:00:00",12184,11215
"2026-02-23 01:00:00",12362,11184
"2026-02-23 02:00:00",12672,11161
"2026-02-23 03:00:00",12694,11139
"2026-02-23 04:00:00",12005,11118
"2026-02-23 05:00:00",11124,11107
"2026-02-23 06:00:00",10101,11101
"2026-02-23 07:00:00",9121,11088
"2026-02-23 08:00:00",8687,11073
"2026-02-23 09:00:00",8712,11065
"2026-02-23 10:00:00",9028,11045
"2026-02-23 11:00:00",9580,11024
"2026-02-23 12:00:00",9945,11006
"2026-02-23 13:00:00",10621,11002
"2026-02-23 14:00:00",11237,11004
"2026-02-23 15:00:00",11525,11004
"2026-02-23 16:00:00",11551,11006
"2026-02-23 17:00:00",11891,11008
"2026-02-23 18:00:00",12129,10991
"2026-02-23 19:00:00",12386,10966
"2026-02-23 20:00:00",12544,10945
"2026-02-23 21:00:00",12484,10922
"2026-02-23 22:00:00",12156,10902
"2026-02-23 23:00:00",11768,10885
"2026-02-24 00:00:00",11368,10869
